20,435212
40,432508
60,368484
80,368484
100,368484
120,368484
140,368484
160,351340
180,351340
200,351340
220,351340
240,351340
260,351340
280,333108
300,330180
320,330180
340,330180
360,330180
380,330180
400,330180
420,330180
440,330180
460,330180
480,330180
500,330180
520,330180
540,330180
560,330180
580,330180
600,330180
620,330180
640,330180
660,330180
680,330180
700,330180
720,330180
740,330180
760,330180
780,330180
800,330180
820,330180
840,330180
860,330180
880,330180
900,330180
920,330180
940,330180
960,330180
980,330180
1000,330180
1020,330180
1040,330180
1060,330180
1080,330180
1100,330180
1120,330180
1140,330180
1160,330180
1180,330180
1200,330180
1220,330180
1240,330180
1260,330180
